/N16/D X,/N16/D Y
0,2.243135538816084e-12
1.2e-09,6.393233393846828e-10
2.4e-09,1.255829187351364e-09
3.6e-09,1.867974404667249e-09
4.8e-09,2.48912686252221e-09
6e-09,3.119902821262147e-09
7.2e-09,3.768676498049478e-09
8.399999999999999e-09,4.438595035658317e-09
9.6e-09,5.132558791312129e-09
1.08e-08,5.853110988783109e-09
1.2e-08,6.602516900155136e-09
1.32e-08,7.382841336665e-09
1.44e-08,8.196008322668457e-09
1.56e-08,9.043843683853762e-09
1.68e-08,9.928103957920255e-09
1.800000000000001e-08,1.085049490305894e-08
1.920000000000001e-08,1.181268227959468e-08
2.040000000000001e-08,1.281629699929006e-08
2.160000000000001e-08,1.386293626017409e-08
2.280000000000001e-08,1.49541619094498e-08
2.400000000000001e-08,1.609149698429628e-08
2.520000000000001e-08,1.727642115203064e-08
2.640000000000001e-08,1.851036559261042e-08
2.760000000000001e-08,1.979470772662522e-08
2.880000000000001e-08,2.113076608238645e-08
3.000000000000001e-08,2.251979550994012e-08
3.120000000000001e-08,2.396298288292703e-08
3.240000000000001e-08,2.546144337727496e-08
3.36e-08,2.70162173757253e-08
3.48e-08,2.862826801678449e-08
3.6e-08,3.029847938386357e-08
3.72e-08,3.202765531366196e-08
3.839999999999999e-08,3.381651879095385e-08
3.959999999999999e-08,3.566571188885761e-08
4.079999999999999e-08,3.757579620861385e-08
4.199999999999999e-08,3.954725377014012e-08
4.319999999999998e-08,4.15804883037155e-08
4.439999999999998e-08,4.367582689354105e-08
4.559999999999998e-08,4.583352192537898e-08
4.679999999999998e-08,4.805375329259074e-08
4.799999999999997e-08,5.033663081757582e-08
4.919999999999997e-08,5.268219684856807e-08
5.039999999999997e-08,5.509042899488714e-08
5.159999999999997e-08,5.756124296699826e-08
5.279999999999996e-08,6.009449549089689e-08
5.399999999999996e-08,6.268998726952428e-08
5.519999999999996e-08,6.534746596688828e-08
5.639999999999996e-08,6.806662919346683e-08
5.759999999999995e-08,7.084712747412907e-08
5.879999999999995e-08,7.368856718236389e-08
5.999999999999999e-08,7.659051342687376e-08
